epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
110,0.556278,5.175590e+03,4.384013e-02,4.975070e-01,2.033346e+00,1.021791e-05,5.171055e+03,1.959859e+00
111,0.545902,5.124155e+03,3.353134e-02,4.976425e-01,2.034364e+00,1.020478e-05,5.119628e+03,1.961868e+00
112,0.554320,5.073667e+03,3.030323e-02,4.976946e-01,2.035038e+00,1.019592e-05,5.069140e+03,1.963572e+00
113,0.549770,5.024082e+03,3.209266e-02,4.976611e-01,2.035361e+00,1.019278e-05,5.019552e+03,1.964989e+00
114,0.559234,4.975364e+03,3.697295e-02,4.975540e-01,2.035393e+00,1.019092e-05,4.970828e+03,1.966169e+00
115,0.552859,4.927487e+03,4.540743e-02,4.974007e-01,2.035261e+00,1.019090e-05,4.922942e+03,1.967199e+00
116,0.552203,4.880417e+03,4.013037e-02,4.972494e-01,2.035191e+00,1.019616e-05,4.875876e+03,1.968222e+00
117,0.546684,4.834136e+03,2.864367e-02,4.971003e-01,2.035173e+00,1.020532e-05,4.829606e+03,1.969232e+00
118,0.546059,4.788622e+03,2.156385e-02,4.969254e-01,2.035056e+00,1.021407e-05,4.784099e+03,1.970154e+00
119,0.550431,4.743853e+03,2.242891e-02,4.967112e-01,2.034765e+00,1.022263e-05,4.739328e+03,1.970911e+00
120,0.546593,4.699799e+03,2.757017e-02,4.964686e-01,2.034336e+00,1.023026e-05,4.695269e+03,1.971517e+00
121,0.547969,4.656418e+03,3.273173e-02,4.962318e-01,2.033912e+00,1.023688e-05,4.651883e+03,1.972057e+00
122,0.547859,4.613590e+03,2.887686e-02,4.960799e-01,2.033823e+00,1.024345e-05,4.609059e+03,1.972776e+00
123,0.545618,4.571583e+03,1.521346e-02,4.959973e-01,2.033975e+00,1.024916e-05,4.567064e+03,1.973630e+00
124,0.547106,4.530296e+03,1.546686e-02,4.958446e-01,2.033769e+00,1.025120e-05,4.525777e+03,1.974150e+00
125,0.547061,4.489656e+03,1.993106e-02,4.956270e-01,2.033227e+00,1.024980e-05,4.485133e+03,1.974351e+00
126,0.547047,4.449669e+03,4.550242e-02,4.953678e-01,2.032459e+00,1.024587e-05,4.445121e+03,1.974305e+00
127,0.547178,4.410298e+03,4.737595e-02,4.951642e-01,2.031933e+00,1.024253e-05,4.405749e+03,1.974301e+00
